Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,56.45,56.98,56.4,56.75,2392800,56.75
2014-02-18,55.38,57.54,54.9,56.34,4607100,56.34
2014-02-10,59.27,60.46,54.87,55.25,5436100,55.25
2014-02-03,58.15,59.47,56.08,59.42,2340200,59.42
2014-01-27,57.9,60.11,56.98,58.15,3309500,58.15
2014-01-21,60.69,61.22,57.71,57.87,2874400,57.87
2014-01-13,58.77,60.83,58.6,60.71,2275900,60.71
2014-01-06,57.4,59.01,56.56,58.93,1856100,58.93
2013-12-30,57.05,57.55,56.15,56.92,1463000,56.92
2013-12-23,57.45,57.71,57.12,57.17,931400,57.17
2013-12-16,55.25,57.94,55.07,56.96,2775400,56.83
2013-12-09,54.8,55.9,54.3,55.16,2305300,55.03
2013-12-02,53.47,54.93,52.56,54.83,2243100,54.7
2013-11-25,54.11,54.13,53.02,53.57,1751600,53.45
2013-11-18,54.45,54.98,53.47,53.85,2650800,53.73
2013-11-11,50.63,55.74,50.36,54.93,4060200,54.8
2013-11-04,51.39,51.46,49.84,50.78,1965200,50.66
2013-10-28,51.79,51.98,50.45,51.1,1631800,50.98
2013-10-21,53.04,53.14,50.3,51.87,2673900,51.75
2013-10-14,51.2,53.24,50.51,52.99,2597900,52.87
2013-10-07,51.34,51.67,49.39,51.46,2029700,51.34
2013-09-30,51.02,52.08,50.7,51.78,2282800,51.66
2013-09-23,51.91,52.24,51.2,51.63,2515200,51.51
2013-09-16,49.06,53.47,48.29,52.15,6864100,51.91
2013-09-09,47.59,49.02,47.29,48.46,1776600,48.24
2013-09-03,47.04,48.09,46.62,47.43,1683400,47.21
2013-08-26,47.64,48.2,46.37,46.64,1799000,46.43
2013-08-19,46.63,48.33,46.17,47.68,2164000,47.46
2013-08-12,45.89,48.17,45.72,46.79,3129100,46.57
2013-08-05,46.26,46.55,45.61,46.22,1903800,46.01
2013-07-29,45.59,46.51,44.66,46.38,2539600,46.17
2013-07-22,46.23,46.9,45.43,45.6,2342200,45.39
2013-07-15,45.7,46.47,45.55,46.2,1766500,45.99
2013-07-08,44.38,45.98,44.12,45.75,2686800,45.54
2013-07-01,43.05,44.29,42.72,44.23,2827100,44.03
2013-06-24,42.44,43.31,42.01,42.76,3700400,42.56
