Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,64.58,65.09,63.78,63.79,2301800,63.79
2014-02-18,64.92,65.01,63.99,64.83,1493900,64.83
2014-02-10,64.13,65.25,64.07,64.65,1326600,64.65
2014-02-03,62.8,65.55,62.12,64.93,1699200,64.93
2014-01-27,63.01,64.38,62.19,63.,1526200,63.
2014-01-21,64.8,65.2,62.18,62.6,2629700,62.41
2014-01-13,67.68,67.76,64.04,64.39,2730200,64.19
2014-01-06,69.61,70.53,67.57,67.76,1834100,67.55
2013-12-30,73.01,73.65,71.74,71.79,703000,71.57
2013-12-23,72.77,73.91,72.37,72.93,597500,72.71
2013-12-16,72.44,73.11,71.,72.55,1309000,72.33
2013-12-09,73.76,73.89,72.24,72.36,873500,72.14
2013-12-02,72.26,74.,71.37,73.38,1352100,73.15
2013-11-25,73.93,74.94,73.41,74.11,1301800,73.88
2013-11-18,74.35,75.44,71.77,73.53,1679000,73.3
2013-11-11,72.44,74.65,72.21,74.64,934900,74.41
2013-11-04,72.,73.81,70.1,72.54,1037100,72.32
2013-10-28,73.27,74.05,69.73,71.94,965100,71.72
2013-10-21,72.1,73.06,71.09,73.,1074700,72.58
2013-10-14,73.19,73.74,69.4,72.2,1801000,71.79
2013-10-07,75.64,75.81,71.5,73.73,1253300,73.31
2013-09-30,75.98,77.32,75.67,75.9,934700,75.47
2013-09-23,73.39,76.92,73.23,76.62,913500,76.18
2013-09-16,73.06,74.28,72.35,73.74,800000,73.32
2013-09-09,69.98,73.28,69.98,72.65,749900,72.23
2013-09-03,71.03,71.76,69.18,69.65,918600,69.25
2013-08-26,71.06,71.5,69.54,70.43,1130900,70.03
2013-08-19,73.56,75.15,70.57,70.95,2030000,70.54
2013-08-12,73.9,74.97,73.23,73.46,1022200,73.04
2013-08-05,74.35,75.,72.95,74.02,795400,73.6
2013-07-29,71.49,74.66,71.44,74.66,1136300,74.23
2013-07-22,71.45,72.24,70.9,71.96,735300,71.39
2013-07-15,71.95,73.08,71.24,71.55,916700,70.98
2013-07-08,68.51,72.07,68.38,72.,907200,71.43
2013-07-01,67.52,68.75,67.31,68.43,712600,67.88
2013-06-24,66.8,68.25,66.09,66.99,1343300,66.46
2013-06-17,69.44,69.61,65.7,67.6,1362100,67.06
2013-06-10,69.16,70.26,67.23,69.23,1027000,68.68
2013-06-03,67.59,69.,66.5,68.93,1051300,68.38
2013-05-28,70.08,70.14,67.5,67.5,1289500,66.96
2013-05-20,69.42,71.05,68.62,69.48,1864600,68.93
2013-05-13,70.36,70.71,68.31,69.6,1611300,69.04
2013-05-06,67.84,70.61,67.54,70.51,1086700,69.95
2013-04-29,66.75,68.66,66.,67.57,1403600,67.03
2013-04-22,66.9,67.68,66.29,66.99,933800,66.29
2013-04-15,66.,67.34,65.17,66.94,1382100,66.24
2013-04-08,63.15,67.08,63.03,66.16,1526100,65.47
2013-04-01,62.19,63.35,61.57,63.24,1293800,62.58
2013-03-25,62.16,62.63,61.38,62.1,1052400,61.45
2013-03-18,62.,62.71,61.37,62.24,1294300,61.59
2013-03-11,63.43,63.73,61.75,62.59,2141300,61.94
2013-03-04,64.83,66.72,61.3,63.42,3949800,62.76
2013-02-25,63.3,65.4,61.58,64.68,1524700,64.01
2013-02-19,64.8,64.96,62.19,64.01,1822200,63.35
2013-02-11,67.14,67.63,64.71,64.78,1281400,64.11
2013-02-04,64.6,67.2,63.46,67.14,1658100,66.44
2013-01-28,67.64,68.23,62.63,63.98,3361400,63.32
2013-01-22,68.63,70.31,67.9,69.99,913900,69.26
2013-01-14,68.2,69.54,66.89,68.66,675500,67.95
