Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.57,73.11,72.23,72.32,824100,72.32
2014-02-18,72.75,73.5,72.32,72.7,669900,72.7
2014-02-10,71.23,73.29,70.64,72.93,771200,72.93
2014-02-03,70.58,72.54,67.31,71.52,1722000,71.52
2014-01-27,71.47,72.41,70.56,70.63,705400,70.63
2014-01-21,76.,76.63,71.62,71.62,847800,71.62
2014-01-13,73.84,75.99,72.77,75.52,682300,75.52
2014-01-06,74.66,75.15,73.66,74.22,699800,74.22
2013-12-30,75.45,75.6,74.16,74.27,487600,74.27
2013-12-23,73.26,75.68,72.99,75.46,543500,75.46
2013-12-16,73.46,73.95,71.91,73.04,1459100,72.91
2013-12-09,74.38,75.53,73.22,73.31,754100,73.18
2013-12-02,72.89,74.4,71.72,74.4,845100,74.27
2013-11-25,73.03,73.41,72.15,72.86,521500,72.73
2013-11-18,75.09,75.33,72.54,72.92,644400,72.79
2013-11-11,73.36,75.12,72.29,75.1,473300,74.97
2013-11-04,72.79,73.43,71.79,73.42,673400,73.29
2013-10-28,74.18,74.42,71.18,72.82,933800,72.69
2013-10-21,73.33,74.57,72.93,74.34,474400,74.21
2013-10-14,71.76,73.62,71.54,73.41,499800,73.28
2013-10-07,71.49,72.28,70.01,72.24,548500,72.11
2013-09-30,70.83,72.22,70.61,72.12,772100,71.99
2013-09-23,71.34,71.95,70.81,71.52,544100,71.39
2013-09-16,70.97,72.35,70.1,71.36,562300,71.1
2013-09-09,67.98,70.8,67.79,70.17,489800,69.91
2013-09-03,67.45,68.2,66.4,67.8,701500,67.55
2013-08-26,66.75,67.46,66.01,66.61,834700,66.37
2013-08-19,65.14,66.92,64.51,66.57,674500,66.33
2013-08-12,65.34,66.49,64.44,65.44,891000,65.2
2013-08-05,67.02,67.46,64.6,65.68,729000,65.44
2013-07-29,63.15,67.34,61.64,67.26,1225800,67.01
2013-07-22,63.47,63.99,62.77,63.44,544100,63.21
2013-07-15,62.27,63.53,61.15,63.48,755200,63.25
2013-07-08,61.39,63.25,60.57,62.12,1158800,61.89
2013-07-01,61.56,62.53,60.62,62.32,599800,62.09
2013-06-24,62.02,62.92,61.03,61.06,806500,60.84
2013-06-17,63.07,64.96,61.88,62.58,871300,62.21
2013-06-10,63.17,63.43,61.4,62.57,615300,62.2
2013-06-03,62.83,63.,60.66,62.87,923000,62.5
2013-05-28,64.35,64.95,62.71,62.71,747600,62.34
2013-05-20,63.19,64.15,62.01,63.51,978600,63.14
2013-05-13,61.67,63.36,60.45,63.35,895100,62.98
2013-05-06,59.51,61.97,59.3,61.95,677700,61.59
2013-04-29,60.34,62.,55.71,59.57,1273400,59.22
2013-04-22,57.96,60.88,57.11,59.89,657800,59.54
2013-04-15,57.95,58.56,56.39,57.88,1125700,57.54
2013-04-08,56.09,58.86,55.86,58.43,847100,58.09
2013-04-01,57.23,57.23,55.18,55.45,1020900,55.13
2013-03-25,57.5,57.61,56.26,57.03,918800,56.7
2013-03-18,59.53,60.03,57.09,57.45,952700,56.98
2013-03-11,61.17,61.67,59.93,60.,1099200,59.51
2013-03-04,59.54,61.51,59.18,61.12,772300,60.62
2013-02-25,58.94,60.67,57.51,59.9,1052600,59.41
2013-02-19,59.73,60.22,57.,58.71,1222600,58.23
2013-02-11,59.93,60.12,58.01,59.47,1153500,58.98
2013-02-04,62.22,63.15,59.06,59.82,1020400,59.33
2013-01-28,62.06,62.63,60.7,62.42,517100,61.91
2013-01-22,60.98,61.88,60.62,61.87,641900,61.36
2013-01-14,61.32,61.76,60.,60.61,697200,60.11
2013-01-07,59.04,61.93,58.8,61.4,777700,60.9
2012-12-31,57.17,59.99,57.12,59.13,660100,58.64
2012-12-24,57.99,59.08,57.22,57.27,703300,56.8
2012-12-17,57.,58.7,56.61,58.01,940200,57.4
2012-12-10,53.11,57.57,52.72,56.79,1442300,56.19
2012-12-03,55.8,55.95,52.75,53.08,741000,52.52
2012-11-26,54.7,55.95,54.27,55.46,642500,54.88
2012-11-19,52.34,54.98,52.26,54.8,627200,54.22
2012-11-12,53.32,53.41,50.76,51.64,568900,51.1
2012-11-05,53.93,55.06,52.37,53.22,544300,52.66
2012-10-31,54.12,55.14,51.89,54.12,946800,53.55
2012-10-22,54.9,55.2,53.36,54.28,465700,53.71
2012-10-15,53.69,56.52,53.5,55.13,398100,54.55
2012-10-08,55.9,56.11,53.48,53.63,425800,53.06
2012-10-01,55.48,56.81,54.66,56.21,681600,55.62
