Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,81.92,82.73,81.7,81.74,2257900,81.74
2014-02-18,78.72,81.77,78.58,81.48,2258600,81.48
2014-02-10,79.43,79.61,77.95,78.59,4912200,78.59
2014-02-03,78.89,79.79,76.25,79.68,2639400,79.68
2014-01-27,79.41,80.18,77.95,78.87,3369700,78.87
2014-01-21,83.08,83.33,79.21,79.21,1558700,79.21
2014-01-13,81.99,83.08,80.97,82.66,1854200,82.66
2014-01-06,83.89,84.03,81.89,82.47,2193900,82.47
2013-12-30,83.46,84.32,83.07,83.74,1313000,83.74
2013-12-23,82.42,83.95,82.28,83.59,1015600,83.59
2013-12-16,79.22,82.58,79.1,81.87,2347200,81.46
2013-12-09,80.46,80.67,78.24,78.95,1851200,78.55
2013-12-02,79.4,80.62,77.3,80.49,2251600,80.09
2013-11-25,79.61,79.84,79.16,79.58,1161500,79.18
2013-11-18,79.96,79.97,78.55,79.5,1587700,79.1
2013-11-11,79.09,79.92,78.39,79.65,1781000,79.25
2013-11-04,79.25,79.68,78.22,79.08,1562800,78.68
2013-10-28,78.4,79.52,78.2,78.98,1565100,78.58
2013-10-21,77.36,79.5,76.87,78.55,2335900,78.16
2013-10-14,76.42,77.83,75.45,77.42,1842800,77.03
2013-10-07,74.63,77.27,73.6,76.93,1635700,76.54
2013-09-30,76.08,76.81,74.48,75.34,1791000,74.96
2013-09-23,76.16,78.56,75.58,76.73,2218300,76.35
2013-09-16,75.18,77.04,74.8,76.49,1828800,75.69
2013-09-09,73.17,74.86,72.99,74.37,1400800,73.59
2013-09-03,72.18,73.43,71.07,72.88,1472800,72.12
2013-08-26,73.25,73.71,71.15,71.47,1227600,70.72
2013-08-19,72.39,73.44,71.89,73.28,1272400,72.52
2013-08-12,73.09,74.25,72.26,72.43,1152000,71.67
2013-08-05,74.,74.1,72.82,73.3,1100700,72.54
2013-07-29,71.91,75.39,71.54,74.25,1751800,73.48
2013-07-22,73.51,74.07,70.17,71.97,2411000,71.22
2013-07-15,71.97,73.43,70.81,73.29,1593400,72.53
2013-07-08,70.37,72.34,70.21,71.87,1804900,71.12
2013-07-01,69.81,70.16,68.16,69.97,1849400,69.24
2013-06-24,67.3,69.83,67.14,69.17,3071000,68.45
2013-06-17,70.75,71.74,68.38,68.43,2317300,67.34
2013-06-10,70.8,70.8,69.22,70.24,1546400,69.12
2013-06-03,70.33,71.24,68.92,70.7,1957200,69.57
2013-05-28,70.92,71.35,69.86,70.13,1453400,69.01
2013-05-20,70.64,71.64,69.45,70.23,1859600,69.11
2013-05-13,68.2,70.85,67.89,70.78,2131000,69.65
2013-05-06,65.57,68.82,65.24,68.3,2351800,67.21
2013-04-29,64.68,65.96,63.84,65.71,2114700,64.66
2013-04-22,60.75,65.94,60.13,64.38,3343300,63.35
2013-04-15,63.01,63.08,60.02,60.5,2684600,59.53
2013-04-08,61.42,63.66,61.25,63.44,2017100,62.43
2013-04-01,60.83,62.08,60.4,61.57,2325300,60.59
2013-03-25,62.42,62.48,60.18,60.94,3100400,59.97
