Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,45.41,45.67,45.25,45.27,2224400,45.27
2014-02-18,45.35,45.59,44.6,45.26,1788200,45.26
2014-02-10,44.61,46.99,44.17,45.76,1560600,45.4
2014-02-03,44.95,44.99,43.14,44.44,5515900,44.09
2014-01-27,44.18,45.64,43.87,44.86,2290900,44.51
2014-01-21,46.6,46.63,44.04,44.08,2334900,43.74
2014-01-13,44.97,46.73,44.95,46.2,2727100,45.84
2014-01-06,44.51,45.5,44.33,45.07,1566600,44.72
2013-12-30,44.22,44.95,44.01,44.54,950000,44.19
2013-12-23,43.7,44.73,43.4,44.28,1266300,43.93
2013-12-16,41.61,43.52,41.47,43.42,4115500,43.08
2013-12-09,43.42,43.73,41.32,41.53,1863400,41.21
2013-12-02,43.46,43.6,42.06,43.56,2044800,43.22
2013-11-25,43.95,43.99,42.88,43.29,1487400,42.95
2013-11-18,42.64,43.9,42.2,43.81,1898900,43.47
2013-11-11,42.73,43.61,42.56,43.61,1898300,42.92
2013-11-04,42.57,43.1,42.09,42.89,1572800,42.21
2013-10-28,38.88,44.1,38.88,42.54,4482200,41.86
2013-10-21,40.43,40.63,38.55,38.87,1941100,38.25
2013-10-14,39.97,40.5,39.33,40.3,1325700,39.66
2013-10-07,39.12,40.22,38.46,40.1,1377900,39.46
2013-09-30,39.99,40.63,39.17,39.39,1496600,38.76
2013-09-23,40.34,41.13,40.08,40.3,1328200,39.66
2013-09-16,40.08,40.61,39.79,40.24,1263300,39.6
2013-09-09,39.08,39.63,38.77,39.6,953600,38.97
2013-09-03,39.19,39.86,38.59,38.9,2307600,38.28
2013-08-26,39.14,39.4,38.44,38.81,1268400,38.19
2013-08-19,38.98,39.41,38.46,39.08,1173200,38.46
2013-08-12,40.5,41.,39.22,39.51,1476500,38.53
2013-08-05,41.28,41.7,40.5,40.61,1379900,39.61
2013-07-29,39.09,41.78,39.03,41.48,2756900,40.45
2013-07-22,40.08,40.39,38.98,39.29,1686800,38.32
2013-07-15,39.41,40.14,39.24,39.87,1785900,38.88
2013-07-08,38.42,39.54,37.26,39.44,1667800,38.46
2013-07-01,37.57,38.33,37.18,38.23,1089900,37.28
2013-06-24,36.52,37.54,36.15,37.25,1990800,36.33
2013-06-17,37.32,38.16,36.27,36.75,1759600,35.84
2013-06-10,36.7,37.43,36.14,37.04,1888600,36.12
2013-06-03,36.5,38.35,35.74,36.7,2339300,35.79
2013-05-28,36.62,37.37,36.29,36.48,1626500,35.58
2013-05-20,37.01,37.26,35.81,36.32,1947600,35.42
2013-05-13,37.,37.97,36.81,37.08,2537300,36.16
2013-05-06,37.31,37.87,36.95,37.21,3197700,35.95
2013-04-29,35.65,37.91,35.53,37.55,2000400,36.28
2013-04-22,34.39,36.34,34.04,35.6,1591100,34.39
2013-04-15,36.07,36.44,33.72,34.34,2192800,33.18
2013-04-08,35.47,37.,35.21,36.31,1626800,35.08
2013-04-01,36.83,36.85,34.64,35.54,1995700,34.34
2013-03-25,36.38,36.83,35.96,36.77,1535300,35.52
2013-03-18,35.8,36.47,35.58,36.2,1345800,34.97
2013-03-11,36.63,37.38,36.11,36.28,1931600,35.05
2013-03-04,36.61,37.2,36.18,36.85,1647400,35.6
2013-02-25,37.,37.25,35.98,36.46,2320500,35.22
