Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.09,30.44,30.07,30.24,1564600,30.24
2014-02-18,29.55,30.17,29.39,30.11,1229200,30.11
2014-02-10,29.35,29.96,29.18,29.54,1278800,29.54
2014-02-03,29.81,29.91,28.27,29.5,1961900,29.5
2014-01-27,30.93,31.43,27.,29.88,2356400,29.88
2014-01-21,32.3,32.44,30.84,30.96,1286100,30.96
2014-01-13,32.58,32.9,31.89,32.2,1079400,32.2
2014-01-06,32.94,33.19,32.47,32.5,1192800,32.5
2013-12-30,33.25,33.44,32.67,32.85,715500,32.85
2013-12-23,33.16,33.42,32.9,33.2,567900,33.2
2013-12-16,31.4,33.09,31.19,33.06,1960800,33.06
2013-12-09,30.86,31.4,30.67,31.29,1444400,31.19
2013-12-02,31.09,31.44,30.17,30.76,2109500,30.66
2013-11-25,31.39,31.52,30.95,31.05,1154000,30.95
2013-11-18,30.97,31.34,30.42,31.3,949600,31.2
2013-11-11,30.1,31.05,30.09,30.95,692000,30.85
2013-11-04,29.84,30.21,29.44,30.18,873400,30.08
2013-10-28,30.09,30.33,29.6,29.73,1342600,29.64
2013-10-21,30.35,30.79,29.65,30.04,1555400,29.94
2013-10-14,29.71,30.32,29.61,30.32,1159000,30.22
2013-10-07,29.16,29.63,28.3,29.59,1081000,29.5
2013-09-30,29.1,29.69,28.97,29.4,1121400,29.31
2013-09-23,29.47,29.61,29.13,29.31,847200,29.22
2013-09-16,29.33,30.,29.16,29.51,1281600,29.42
2013-09-09,28.33,29.25,28.29,29.11,1029200,28.92
2013-09-03,27.94,28.38,27.52,28.2,1254700,28.01
2013-08-26,28.28,28.51,27.53,27.67,921900,27.49
2013-08-19,27.98,28.41,27.93,28.35,1013500,28.16
2013-08-12,27.81,28.62,27.81,28.07,1038100,27.89
2013-08-05,28.07,28.3,27.76,27.91,1423400,27.73
2013-07-29,27.08,28.31,27.04,28.17,1218600,27.98
2013-07-22,25.44,27.62,25.23,27.17,2102400,26.99
2013-07-15,25.7,25.87,25.37,25.47,982000,25.3
2013-07-08,24.63,25.77,24.56,25.64,1559100,25.47
2013-07-01,24.52,24.92,24.5,24.78,1362300,24.62
2013-06-24,22.68,24.59,22.64,24.48,1979300,24.32
2013-06-17,23.56,23.64,22.58,22.78,2183900,22.63
2013-06-10,23.46,23.95,22.91,23.46,1739100,23.21
2013-06-03,23.51,23.64,22.99,23.43,1108300,23.18
2013-05-28,23.84,23.99,23.44,23.51,808000,23.26
2013-05-20,24.14,24.19,23.4,23.65,982300,23.39
2013-05-13,24.19,24.23,23.78,24.2,1418300,23.94
2013-05-06,23.85,24.36,23.72,24.24,1275600,23.98
2013-04-29,23.37,24.03,23.29,23.92,1183000,23.66
2013-04-22,23.96,24.29,22.66,23.24,2155800,22.99
2013-04-15,24.76,24.86,23.69,23.95,1240800,23.69
2013-04-08,24.,25.05,23.99,24.9,1307200,24.63
2013-04-01,24.75,24.8,23.93,24.03,1307900,23.77
2013-03-25,24.43,24.83,24.27,24.78,1436400,24.51
2013-03-18,24.08,24.43,23.75,24.37,1080500,24.11
2013-03-11,24.22,24.47,24.21,24.29,1555500,23.93
2013-03-04,23.67,24.38,23.51,24.25,1531300,23.89
2013-02-25,23.27,23.87,22.97,23.8,2362500,23.44
2013-02-19,23.34,23.48,21.53,22.87,3536200,22.53
2013-02-11,23.25,23.32,22.86,23.27,1153900,22.92
2013-02-04,23.1,23.39,22.96,23.2,1162800,22.85
2013-01-28,23.74,23.74,22.93,23.21,1505500,22.86
2013-01-22,23.63,23.81,23.26,23.75,2311200,23.39
2013-01-14,23.59,24.,23.49,23.62,1728300,23.27
