Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,31.82,32.09,31.63,31.7,4009200,31.7
2014-02-18,31.66,32.43,31.38,31.7,3101800,31.7
2014-02-10,30.7,31.82,30.54,31.75,2302400,31.75
2014-02-03,31.52,31.83,30.1,30.76,3982200,30.76
2014-01-27,31.02,31.71,30.23,31.49,4148700,31.12
2014-01-21,32.64,33.04,30.47,31.07,8489000,30.71
2014-01-13,32.35,32.74,31.57,32.61,3996400,32.23
2014-01-06,32.,32.55,31.47,32.4,4166400,32.02
2013-12-30,32.7,33.02,31.77,32.01,3524400,31.64
2013-12-23,32.65,32.99,32.01,32.79,3352700,32.41
2013-12-16,31.84,32.69,31.29,32.61,6608800,32.23
2013-12-09,32.39,32.65,31.59,31.71,3598100,31.34
2013-12-02,32.91,32.94,32.01,32.44,4901900,32.06
2013-11-25,33.45,33.64,32.39,32.63,4647600,32.25
2013-11-18,35.5,35.61,33.22,33.35,6824100,32.96
2013-11-11,38.01,38.01,35.29,35.47,6681800,35.06
2013-11-04,38.2,38.92,36.81,38.84,6071900,38.39
2013-10-28,37.8,38.35,37.38,38.12,4761400,37.13
2013-10-21,37.94,38.9,37.2,37.88,5907200,36.9
2013-10-14,37.81,38.03,36.47,37.94,3290100,36.96
2013-10-07,36.82,38.26,36.82,37.91,3383600,36.93
2013-09-30,36.52,37.32,36.3,36.97,2514500,36.01
2013-09-23,36.53,37.75,36.43,36.59,2258700,35.64
2013-09-16,37.46,38.59,36.62,36.66,3152500,35.71
2013-09-09,37.01,37.9,36.76,37.11,2275300,36.15
2013-09-03,37.69,38.,36.3,36.99,2865100,36.03
2013-08-26,38.11,38.29,37.2,37.47,1508300,36.5
2013-08-19,36.76,38.34,36.3,38.13,3180700,37.14
2013-08-12,37.75,37.8,36.46,36.81,3180400,35.86
2013-08-05,37.51,39.01,36.41,37.9,4882900,36.92
2013-07-29,38.77,39.88,37.8,38.13,4479500,36.61
2013-07-22,38.92,39.4,37.97,38.91,4807200,37.36
2013-07-15,37.36,39.18,37.32,38.92,2448000,37.37
2013-07-08,36.,37.48,35.91,37.45,2157400,35.95
2013-07-01,37.52,37.57,35.46,35.85,2301900,34.42
2013-06-24,36.26,37.68,35.72,37.34,3650900,35.85
2013-06-17,38.41,38.57,36.09,36.51,3666000,35.05
2013-06-10,39.,39.09,37.82,38.33,2025600,36.8
2013-06-03,39.29,39.72,38.31,38.94,3054300,37.38
2013-05-28,40.89,40.89,38.83,39.01,6612600,37.45
2013-05-20,43.77,44.61,42.25,42.62,3095400,40.92
2013-05-13,42.78,43.83,42.33,43.78,2404800,42.03
2013-05-06,44.88,45.1,42.56,42.91,3154700,41.2
2013-04-29,46.63,46.77,44.95,44.99,3522200,43.19
2013-04-22,45.62,46.6,45.47,46.48,4165700,44.09
2013-04-15,45.56,45.92,44.93,45.65,2458800,43.3
2013-04-08,44.25,45.81,43.79,45.72,3000200,43.37
2013-04-01,42.2,44.13,41.76,44.09,2540100,41.82
2013-03-25,40.87,42.21,40.54,42.2,2303700,40.03
2013-03-18,41.79,42.09,40.73,40.85,3185100,38.75
2013-03-11,40.81,42.12,40.78,42.1,2819300,39.94
